stream_order,site_id,longitude,latitude,type,folder,label,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu
3,S83,-121.227415,47.239586,Prediction1,yes,5,38.75123117,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,31.24532734,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,25.46305683,24.25640589,0.6670102
4,W20,-121.297724,46.648074,Prediction1,maybe,2,47.05196689,34.28728652,0.32813686
4,W20,-121.297724,46.648074,Prediction1,maybe,2,50.82923386,34.28728652,0.32813686
4,W20,-121.297724,46.648074,Prediction1,no,3,58.04059762,34.28728652,0.32813686
4,W20,-121.297724,46.648074,Prediction1,no,3,60.94479517,34.28728652,0.32813686
4,W20,-121.297724,46.648074,Prediction1,no,3,51.85831373,34.28728652,0.32813686
4,W20,-121.297724,46.648074,Prediction1,yes,5,29.55698004,34.28728652,0.32813686
3,U20,-120.642142,46.898654,Prediction1,no,3,19.93577099,2.724905748,1.3775169
3,U20,-120.642142,46.898654,Prediction1,no,3,13.9841441,2.724905748,1.3775169
