OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultParticleSizeBasisText,USGSPCode
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99500534,9/25/95,16:30:00,PDT,USGS-12103380,NWIS-70327024,,,,Sediment,Bed Sediment,100,%,,Preliminary,,Actual,< 2 mm,80163
USGS-WA,USGS Washington Water Science Center,nwiswa.01.99500534,9/25/95,16:30:00,PDT,USGS-12103380,NWIS-70327025,,,,Sediment,Bed Sediment,4,%,,Preliminary,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901208,5/1/89,14:30:00,PDT,USGS-12500437,NWIS-70063845,,,,Sediment,Bed Sediment,25,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901208,5/1/89,14:30:00,PDT,USGS-12500437,NWIS-70063846,,,,Sediment,Bed Sediment,31,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901208,5/1/89,14:30:00,PDT,USGS-12500437,NWIS-70063847,,,,Sediment,Bed Sediment,56,%,,Accepted,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901208,5/1/89,14:30:00,PDT,USGS-12500437,NWIS-70063848,,,,Sediment,Bed Sediment,94,%,,Accepted,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901208,5/1/89,14:30:00,PDT,USGS-12500437,NWIS-70063849,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901208,5/1/89,14:30:00,PDT,USGS-12500437,NWIS-70063850,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901211,5/4/89,11:00:00,PDT,USGS-12484500,NWIS-70064088,,,,Sediment,Bed Sediment,64,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901211,5/4/89,11:00:00,PDT,USGS-12484500,NWIS-70064089,,,,Sediment,Bed Sediment,86,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901211,5/4/89,11:00:00,PDT,USGS-12484500,NWIS-70064090,,,,Sediment,Bed Sediment,99,%,,Accepted,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901211,5/4/89,11:00:00,PDT,USGS-12484500,NWIS-70064091,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 0.5 mm,80167
