stream_order,site_id,long,lat,type,folder,label,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu
5,S21R,-121.043826,47.185797,Prediction1,yes,5,11.386016,13.965597,1.9475806
5,S24R,-121.108406,47.354254,Prediction1,maybe,2,36.775073,117.6877963,2.3492994
5,S24R,-121.108406,47.354254,Prediction1,maybe,2,29.679036,117.6877963,2.3492994
5,S24R,-121.108406,47.354254,Prediction1,yes,5,25.574113999999998,117.6877963,2.3492994
5,S24R,-121.108406,47.354254,Prediction1,yes,5,16.446323,117.6877963,2.3492994
3,S25,-120.897057,47.262537,Prediction1,maybe,2,18.871472,8.220336681,0.3911214
3,S25,-120.897057,47.262537,Prediction1,no,3,53.912263,8.220336681,0.3911214
3,S25,-120.897057,47.262537,Prediction1,no,3,33.116752999999996,8.220336681,0.3911214
3,S25,-120.897057,47.262537,Prediction1,yes,5,13.225585,8.220336681,0.3911214
5,S26R,-120.834427,47.168488,Prediction1,maybe,2,25.206729,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,maybe,2,55.797106,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,maybe,2,43.806149000000005,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,maybe,2,33.953631,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,yes,5,22.044756,48.26868896,1.4357215
5,S26R,-120.834427,47.168488,Prediction1,yes,5,18.831414000000002,48.26868896,1.4357215
2,S27R,-121.176851,47.260155,Prediction1,maybe,2,31.897595000000003,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,maybe,2,37.304797,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,no,3,35.918404,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,18.804333,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,18.263150999999997,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,20.702839,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,19.256625999999997,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,17.165202,8.017718257,1.6319832
2,S27R,-121.176851,47.260155,Prediction1,yes,5,18.941655,8.017718257,1.6319832
4,S28R,-120.73804,47.124215,Train1,none,0,18.35436,0.0048204,2.3612242
4,S28R,-120.73804,47.124215,Prediction1,test,4,16.41136,0.0048204,2.3612242
4,S28R,-120.73804,47.124215,Prediction1,yes,5,16.283865000000002,0.0048204,2.3612242
6,S28RE,-120.73817,47.123516,Prediction1,maybe,2,75.497473,0.0969155,1.9526943
6,S28RE,-120.73817,47.123516,Prediction1,maybe,2,27.138703,0.0969155,1.9526943
6,S28RE,-120.73817,47.123516,Prediction1,no,3,19.392329,0.0969155,1.9526943
6,S28RE,-120.73817,47.123516,Prediction1,no,3,56.040233,0.0969155,1.9526943
4,S29R,-120.733369,47.082159,Prediction1,no,3,11.598786,37.61957346,0.9511203
4,S30R,-120.5482254,46.09521496,Train1,none,0,34.937738,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,VerticalQuadrat,1,19.141513999999997,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,maybe,2,35.442467,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,no,3,20.713774,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,no,3,19.141513999999997,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,no,3,20.917135,3.432751697,1.0242773
4,S30R,-120.5482254,46.09521496,Prediction1,test,4,36.314798,3.432751697,1.0242773
5,S49R,-120.813351,46.724267,Prediction1,yes,5,27.166295,41.76372637,0.7623739
4,S71,-120.691204,46.968185,Train1,none,0,41.866094,36.4101646,0.9767226
4,S71,-120.691204,46.968185,Prediction1,test,4,37.282282,36.4101646,0.9767226
4,S71,-120.691204,46.968185,Prediction1,yes,5,37.488462,36.4101646,0.9767226
4,S72,-120.590443,46.99491,Prediction1,yes,5,26.671977,33.77814872,1.3541058
4,S75,-120.51748,47.017577,Train1,none,0,23.330859999999998,3.3254298,3.3759937
